text,label
"You're so beautiful and smart! I love talking to you.",0
"Kill yourself you worthless piece of trash",1
"Great job on the presentation today!",0
"You're such a slut, everyone knows it",1
"Thanks for helping me with the project",0
"I'm going to find you and make you pay",1
"Have a wonderful day!",0
"You're fat and ugly, no one will ever love you",1
"Congratulations on your achievement!",0
"I know where you live, watch your back",1
"Your opinion matters to me",0
"You're nothing but a whore",1
"Let's work together on this",0
"Everyone hates you, you have no friends",1
"I appreciate your help",0
"You're crazy and imagining things",1
"Good morning! How are you today?",0
"I'm going to ruin your life",1
"Thank you for being so kind",0
"You're a gold digger and attention whore",1
"What a lovely day it is!",0
"Die in a fire you pathetic loser",1
"I'm here to support you",0
"You're disgusting and gross",1
"Let's celebrate your success!",0
"I'll make sure you never work again",1
"Your friendship means a lot to me",0
"You're a fake and everyone knows it",1
"Hope you have a great weekend!",0
"I'm going to expose all your secrets",1
"You're an amazing person",0
"You're worthless and should disappear",1
"Thanks for the great advice",0
"I'll destroy your reputation",1
"Your smile brightens my day",0
"You're a liar and a cheat",1
"Let's grab coffee sometime",0
"I'm going to make you suffer",1
"You're so talented and creative",0
"You're a failure at everything you do",1
"Thanks for being there for me",0
"I'll make sure you regret this",1
"Your kindness is inspiring",0
"You're a waste of space",1
"Hope you're doing well",0
"I'm going to get you fired",1
"You're a wonderful friend",0
"You're a snake and a backstabber",1
"Thanks for the encouragement",0
"I'll make your life miserable",1
"Your hard work is paying off",0
"You're a nobody and always will be",1
"Let's plan something fun together",0
"I'm going to hurt you badly",1
"You're so thoughtful and caring",0
"You're a monster and everyone knows it",1
"Thanks for making me laugh",0
"I'll make sure you pay for this",1
"Your positive attitude is contagious",0
"You're a disgrace to your family",1
"Hope you're having a good day",0
"I'm going to make you cry",1
"You're such a great listener",0
"You're a fraud and a phony",1
"Thanks for being so patient",0
"I'll make you wish you were never born",1
"Your creativity amazes me",0
"You're a parasite on society",1
"Let's catch up soon",0
"I'm going to make you suffer for this",1
"You're so understanding",0
"You're a leech and a burden",1
"Thanks for the great conversation",0
"I'll make sure you never forget this",1
"Your perspective is valuable",0
"You're a mistake that should never have happened",1
"Hope you're taking care of yourself",0
"I'm going to make you regret everything",1
"You're such a positive influence",0
"You're a cancer that needs to be removed",1
"Thanks for being so supportive",0
"I'll make you pay for what you did",1
"Your friendship is a gift",0
"You're a plague on humanity",1
"Let's work on this together",0
"I'm going to make your life hell",1
"You're so reliable and trustworthy",0
"You're a virus that needs to be eliminated",1
"Thanks for always being there",0
"I'll make sure you suffer for this",1
"Your advice is always helpful",0
"You're a stain on society",1
"Hope you're feeling better",0
"I'm going to make you wish you were dead",1
"You're such a good person",0
"You're a mistake that should be erased",1
"Thanks for the great memories",0
"I'll make you pay with your life",1
"Your presence makes everything better",0
"You're a demon in human form",1
"Let's celebrate together",0
"I'm going to make you disappear",1
"You're so talented at what you do",0
"You're a curse on everyone around you",1
"Thanks for being so generous",0
"I'll make sure you never recover from this",1
"Your smile is contagious",0
"You're a poison that spreads everywhere",1
"Hope you're enjoying your day",0
"I'm going to make you beg for mercy",1
"You're such a caring person",0
"You're a monster that should be locked away",1
"Thanks for the wonderful time",0
"I'll make you suffer until you break",1
"Your friendship means everything",0
"You're a disease that needs to be cured",1
"Let's make more memories together",0
"I'm going to make you wish you never existed",1
"You're so inspiring to others",0
"You're a nightmare that haunts everyone",1
"Thanks for being so thoughtful",0
"I'll make you pay for every mistake",1
"Your kindness knows no bounds",0
"You're a disaster waiting to happen",1
"Hope you're having fun",0
"I'm going to make you suffer endlessly",1
"You're such a wonderful human being",0
"You're a mistake that should be corrected",1
"Thanks for the amazing experience",0
"I'll make sure you never forget this pain",1
"Your positive energy is amazing",0
"You're a problem that needs to be solved",1
"Let's create something beautiful together",0
"I'm going to make you regret being alive",1
"You're so full of life and joy",0
"You're a burden that no one wants",1
"Thanks for being so authentic",0
"I'll make you pay for your existence",1
"Your friendship is a treasure",0
"You're a waste of oxygen",1
"Hope you're living your best life",0
"I'm going to make you suffer for eternity",1
"You're such a ray of sunshine",0
"You're a mistake that should be undone",1
"Thanks for the incredible support",0
"I'll make sure you never find peace",1
"Your presence lights up the room",0
"You're a curse that follows everyone",1
"Let's make the world a better place",0
"I'm going to make you wish you were never created",1
"You're so full of potential",0
"You're a failure in every way possible",1
"Thanks for being so genuine",0
"I'll make you pay for every breath you take",1
"Your friendship is irreplaceable",0
"You're a mistake that should be eliminated",1
"Hope you're following your dreams",0
"I'm going to make you suffer beyond imagination",1
"You're such a beautiful soul",0
"You're a plague that destroys everything",1
"Thanks for the unconditional love",0
"I'll make sure you never know happiness again",1
"Your kindness changes lives",0
"You're a monster that should be destroyed",1
"Let's make memories that last forever",0
"I'm going to make you pay for your sins",1
"You're so full of wisdom",0
"You're a mistake that should be erased from history",1
"Thanks for being so compassionate",0
"I'll make you suffer until you can't take it anymore",1
"Your friendship is a blessing",0
"You're a disease that infects everyone",1
"Hope you're achieving your goals",0
"I'm going to make you wish you were never born into this world",1
