Class Label Short,File Name,Transcript
C,H_TA_003_C_M_016_005,உருவத்தை வச்ச ஒருத்தன் கிண்டல் பண்றான் பாருங்க அவன் மண்டையில் இருக்க மூளையில தான் ஏதோ கோளாறு இருக்கு
C,H_TA_003_C_M_016_004,காமெடி பண்ண சொன்னா ஒருத்தன உருவ கேலி பண்ணிட்டு அதுதான் காமெடி என்பான் இவங்க சொல்லிட்டு போயிடுவாங்க ஆனா சென்சிட்டிவான நபர்கள் இதை ஏத்துக்க முடியாம தப்பான முடிவெடுக்க கூட வாய்ப்பு இருக்கு
C,H_TA_003_C_M_016_003,இந்த உருவத்தை வைத்து கிண்டல் கேலி பண்ணி சிரிக்கிறாங்க இல்ல அவங்கள மாதிரி ஒரு ஈனப்பிறவி யாருமே கிடையாது
C,H_TA_003_C_M_015_002,புரிஞ்சுக்கணும் மேடையில் ஒரு நாகரிகம்னு ஒன்னு இருக்கு யாரு யாரையும் படைச்சுக்க கூடாது எந்த சின்ன ஆள் எப்ப பெரிய ஆள் அவன் யாருக்கும் தெரியாது எது சின்ன படம் எது பெரிய படம் ஆகும்னு எவனுக்கும் தெரியாது இந்த பண்பை கத்துக்கணும் அதுக்காக சொல்றேன்
C,H_TA_003_C_M_015_001,என்னா மல மல அண்ணாமலை இது உலகத்தோட ஸ்டைலு உட்காரு மா வை மைக்க கொடுத்த அப்புறம் பேசணும் பின்னாடி பேசக்கூடாது பத்து மாசம் வயித்துல இருக்கும்போதே புள்ளைய பெத்துக்கணும் அதுக்கப்புறம் பெத்துக்கிட்டா அது பிள்ளையே இல்லை
C,H_TA_003_C_M_013_002,இப்படி எல்லாம் நடக்கும் டா எனக்கு புரியல இப்ப புரிஞ்சுகிட்டேன் மா உலகம் என்னன்னு  ஆனா அதுக்கு கொடுத்த விலை தான் ரொம்ப ஜாஸ்தியாச்சுமா ரொம்ப ஜாஸ்தி
C,H_TA_003_C_M_012_001,இந்த கோமாளி யாரு பேரு தர்மதுரை எங்க கிராமத்துல எங்க வீட்டு வேலைக்காரன் ஏதோ பாட்டி சமயத்துல உதவியா இருக்குன்னு வர சொன்னா ராஸ்கல் பாட்டியை கெடுக்கிறான் இனிமே இந்த மாதிரி ஆளுங்க கிட்ட கவனமா இருக்கணும்
C,H_TA_003_C_M_011_002,அவர் இறந்த பின்னாடியே ஒரு உயிர்த்தெழுந்து வந்தார் என்ன இப்போ யூடியூப் இல் நான் அடிக்கடி டாக்குமெண்ட்ரி பார்க்கிறது எனக்கு டைம் இருக்கிறப்ப எனக்கு வழக்கம் அதுல இப்போ வந்து சொல்றாங்க நடக்கவே இல்லை அதாவது உயிர்த்தெழுந்து வருவது வந்து
C,H_TA_003_C_M_011_001,1 நிமிஷம் வீடியோவில் அவர் செத்துட்டாரு என்ற ஒரு விஷயத்தை சொல்லி அவரும் அவர்கிட்ட என்ன மாதிரியான விஷயங்கள் எல்லாம் பண்ணிட்டு இருந்தாரு ரோட்டில் நின்று வேடிக்கை பாத்துட்டு இருந்தாரு என்ன என்ற விஷயத்தை எல்லாம் சொல்றாரு சத்தியமா ஒரு ஸ்கூல் படிக்கிற சின்ன பையன் கூட ஒரு இறப்புக்கு போனால் என்ன மாதிரி நடந்துக்கணும் இந்தியாவுடைய இசையில் ஒரு முக்கிய பங்காளி இருக்கிற இசைஞானி பேசின பேச்சு சத்தியமா ரொம்ப மன வருத்தத்தை ஏற்படுத்தியது
C,H_TA_003_C_M_010_007,தன்னுடைய சொந்த புள்ளைக்கு கூட ஒரு கிரெடிட் கொடுக்கிறதுக்கு மனசு வராம அந்த கிரெடிட் லையும் தன்னுடைய பெயர் வந்து காலத்துக்கும் நிலைத்து நிற்கும் அப்படின்ற மாதிரி ஒரு பூனை தேடி எடுக்கறீங்க உங்களுக்கு கொடுக்காத புகழை அந்த சில்லறை விஷயத்தில் கூட நீங்க வந்து இந்த மாதிரி இருக்கீங்க இந்த மாதிரிதான் தோண்ட வெரி வெரி வெரி ஒஸ்ட்
