Class Label Short,File Name,Transcript
C,H_ML_001_C_F_044_001,നമസ്കാരം ഒരു ഒരു പരമ ചെറ്റയുടെ കാര്യമാണ് ഞാൻ പറയുന്നത്
C,H_ML_001_C_F_044_002,ആദ്യം തന്നെ അവൻറെ ഐഡിയുടെ പേര് വരെ ഞാൻ ഇതിനകത്ത് ഫോട്ടോയെടുത്ത് വെച്ചിട്ടുണ്ട് എന്തോന്ന് കണ്ടീഷ് പൂരില്ല പൂരം എന്നാണ്
C,H_ML_001_C_F_044_003,അവൻറെ ആ ചെറ്റയുടെ ആ പരമനാറിയുടെ പേര്
C,H_ML_001_C_F_044_004,അവന്റെ ദുഷിച്ച മനസ്സ് കൊണ്ടുവന്ന് എൻറെ വീഡിയോയുടെ അടിയിൽ കൊണ്ടുവന്ന എഴുതിവെച്ചേ ചെറ്റ നീ
C,H_ML_001_C_F_044_005,നിൻറെ ദുഷിപ്പ് എല്ലാം എന്തിനാ എന്റെ നേർക്ക് തീർക്കാൻ വരുന്ന പരമ ചെറ്റയെ
C,H_ML_001_C_F_044_006,നാറി നിന്നെ ആർക്ക് വേണം പൂ വലിഞ്ഞു കയറി വന്നേക്കുന്നു എന്റെ കൺമുന്നിൽ എങ്ങാനും വന്നു പെട്ടുപോയാൽ നിന്നെ ഞാൻ തുപ്പും
C,H_ML_001_C_F_044_007,ഞാൻ തൂറി എറിയും നിന്നെ
C,H_ML_001_C_F_044_008,അവൻ വന്ന് എഴുതിയിരിക്കുക പുഴുത്ത പട്ടിയെകാൾ വെറുപ്പാണ് എനിക്ക് അതിന് എനിക്ക് എന്തോ അപ്പൊ
C,H_ML_001_C_F_044_009,നീ അവിടെ കിടന്ന് പുഴുത്ത പട്ടിയുടെ കൂട്ടു കടന്ന് വെറുപ്പ് എടുക്ക്
C,H_ML_001_C_F_044_010,അത് ആദ്യം നീ മനസ്സിലാക്ക് നിൻറെ ദേഹം പുഴുത്ത് അളിയും  അളിയനും അളിയനും അളിയനും  ആളിയുമെടാ ആളിപ്പിക്കും നിന്നെ
C,H_ML_001_C_F_044_011,പുഴുത്ത അളിയും കന്തിഷ് പൂറില്ല പൂരം എന്ന് പറഞ്ഞിട്ടുള്ള ഐഡി ഉണ്ടാക്കിക്കൊണ്ടു വന്നേക്കുന്നു നശിച്ച നാറി നീ നശിച്ചു പോകത്തേയുള്ളൂ
C,H_ML_001_C_F_044_012,നിൻറെ തന്തയുടെ കുടുംബമാണ് സംസ്കാരമില്ലാത്തത്
C,H_ML_001_C_F_044_013,എടാ പട്ടി നാറി നിന്റെയടുത്ത് ഞാൻ എന്തോ ഉണ്ടാക്കാൻ വന്നു
C,H_ML_001_C_F_044_014,പിന്നെ എന്തു പറയ് ഉണ്ടാക്കാൻ എൻറെ വീഡിയോയുടെ അടിയിൽ കൊണ്ടുവന്നു ഇങ്ങനെ തോന്നിവാസം എഴുതിയിട്ടത്
C,H_ML_001_C_F_044_015,നിന്നെപ്പോലെയുള്ള പരമ ചെറ്റകളും നാറികളും ഇങ്ങനെ എഴുതി ഇടുമ്പോഴാണ് ഞാൻ പ്രതികരിക്കുന്നത്
